titre_appart,localisation,prix,nombre_chambre,nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Appartement à vendre 96 m² à Rabat,Rabat,1 850 000 DH,2,2,96,"Appartements, à vendre",Mabella,2,4,6-10 ans,https://www.avito.ma/fr/mabella/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Rabat_55149848.htm
Appartement à vendre à Hay Riad Rabat,Rabat,2 780 000 DH,3,2,140,"Appartements, à vendre",Hay Riad,1,1,NaN,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_%C3%A0_Hay_Riad_Rabat__55693194.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jUm?utm_source=avito_integration&utm_medium=listing_integration
Apt/132M²/Très Sécurisé/Moderne/Mosquée Badr,Casablanca,1 555 000 DH,2,2,132,"Appartements, à vendre",Racine,2,1,1-5 ans,https://www.avito.ma/fr/racine/appartements/Apt_132M%C2%B2_Tr%C3%A8s_S%C3%A9curis%C3%A9_Moderne_Mosqu%C3%A9e_Badr_55043928.htm
appartement bien à vendre Hay Salam,Agadir,790 000 DH,3,2,77,"Appartements, à vendre",Hay Salam,1,4,Neuf,https://www.avito.ma/fr/hay_salam/appartements/appartement_bien_%C3%A0_vendre_Hay_Salam_55724708.htm
Appartement à vendre à 2Mars Casablanca,Casablanca,2 150 000 DH,3,2,125,"Appartements, à vendre",2 Mars,2,2,NaN,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_%C3%A0_2Mars_Casablanca_54603983.htm
Appartement à vendre 46 m² à Casablanca,Casablanca,1 150 000 DH,1,1,46,"Appartements, à vendre",Bourgogne,1,2,1-5 ans,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_46_m%C2%B2_%C3%A0_Casablanca_55635862.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/6cE?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 115 m² à Kénitra,Kénitra,750 000 DH,3,3,115,"Appartements, à vendre",Bir Rami,2,1,Neuf,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_115_m%C2%B2_%C3%A0_K%C3%A9nitra_55152349.htm
Appartement à vendre 96 m² à Rabat,Rabat,1 400 000 DH,3,2,96,"Appartements, à vendre",Hassan,1,1,21+ ans,https://www.avito.ma/fr/hassan/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Rabat_54678178.htm
CMN-SI-1643 - Appartement à vendre à Moulay Youssef,Casablanca,1 320 000 DH,2,1,73,"Appartements, à vendre",Autre secteur,NaN,1,NaN,https://www.avito.ma/fr/autre_secteur/appartements/CMN_SI_1643___Appartement_%C3%A0_vendre_%C3%A0_Moulay_Youssef_55592156.htm
Apt très haut standing côté palais saoudien,Casablanca,1 350 000 DH,3,2,130,"Appartements, à vendre",Sidi Maarouf,1,4,NaN,https://www.avito.ma/fr/sidi_maarouf/appartements/Apt_tr%C3%A8s_haut_standing__c%C3%B4t%C3%A9__palais_saoudien____53841047.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jX8?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre à SAÏDIA 3 chambres salon,Saidia,PRIX NON SPÉCIFIÉ,NaN,NaN,80,"Appartements, à vendre",Toute la ville,1,Rez de chaussée,Neuf,https://www.avito.ma/fr/saidia/appartements/Appartement_%C3%A0_vendre_%C3%A0_SA%C3%8FDIA_3_chambres_salon_28498136.htm
Appartement à vendre 82 m² à Agadir,Agadir,1 400 000 DH,2,2,82,"Appartements, à vendre",Haut-Founty,1,3,Neuf,https://www.avito.ma/fr/haut_founty/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Agadir_55689195.htm
Joli appartement 3 chambres à vendre,Marrakech,2 500 000 DH,3,3,125,"Appartements, à vendre",Palmeraie,1,1,NaN,https://www.avito.ma/fr/palmeraie/appartements/Joli_appartement_3_chambres_%C3%A0_vendre__55722896.htm
Appartement à vendre 75 m² à Bouskoura,Bouskoura,600 000 DH,3,2,75,"Appartements, à vendre",Bouskoura centre,1,1,Neuf,https://www.avito.ma/fr/bouskoura_centre/appartements/Appartement_%C3%A0_vendre_75_m%C2%B2_%C3%A0_Bouskoura_55184979.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/rTN?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 106 m² à hay mohaned islane,Agadir,1 100 000 DH,2,2,106,"Appartements, à vendre",Hay Mohammadi,1,4,1-5 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_106_m%C2%B2_%C3%A0_hay_mohaned_islane_55669295.htm
Appartement à vendre 80 m² à Marrakech,Marrakech,1 200 000 DH,2,1,80,"Appartements, à vendre",Route de Safi,1,1,NaN,https://www.avito.ma/fr/route_de_safi/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Marrakech_55600743.htm
Bel appartement à vendre à Bourgoune Casa,Casablanca,2 190 000 DH,2,2,115,"Appartements, à vendre",Bourgogne,1,2,NaN,https://www.avito.ma/fr/bourgogne/appartements/Bel_appartement_%C3%A0_vendre_%C3%A0_Bourgoune_Casa_53059294.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jVN?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre à Racine Casablanca,Casablanca,5 660 000 DH,3,2,333,"Appartements, à vendre",Racine,3,5,NaN,https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_%C3%A0_Racine_Casablanca_55279120.htm
Appartement à vendre 91 m² à Kénitra,Kénitra,660 000 DH,2,2,91,"Appartements, à vendre",Bir Rami Ouest,2,Rez de chaussée,Neuf,https://www.avito.ma/fr/bir_rami_ouest/appartements/Appartement_%C3%A0_vendre_91_m%C2%B2_%C3%A0_K%C3%A9nitra_54609919.htm
Appartement à vendre 100 m² à Larache,Larache,800 000 DH,3,1,100,"Appartements, à vendre",Toute la ville,1,4,6-10 ans,https://www.avito.ma/fr/larache/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Larache_55735429.htm
Appartement à vendre 57m² à Marrakech,Marrakech,PRIX NON SPÉCIFIÉ,NaN,NaN,57,"Appartements, à vendre",Guéliz,1,3,Neuf,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_57m%C2%B2_%C3%A0_Marrakech_53715307.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jXG?utm_source=avito_integration&utm_medium=listing_integration
Appartement rez de jardin à la palmeraie,Marrakech,1 750 000 DH,2,1,107,"Appartements, à vendre",Palmeraie,1,Rez de chaussée,NaN,https://www.avito.ma/fr/palmeraie/appartements/Appartement_rez_de_jardin_%C3%A0_la_palmeraie_43307871.htm
Bel appartement de 80m2 sur El Wifak Temara,Temara,760 000 DH,2,1,80,"Appartements, à vendre",Wifak,1,3,6-10 ans,https://www.avito.ma/fr/wifak/appartements/Bel_appartement_de_80m2_sur_El_Wifak_Temara_55033187.htm
Appartement à vendre Roche Noire à Casa,Casablanca,950 000 DH,2,2,107,"Appartements, à vendre",Roches Noires,1,1,NaN,https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_vendre_Roche_Noire_%C3%A0_Casa_54837844.htm
Appartement à vendre 64 m² à Casablanca,Casablanca,480 000 DH,2,1,64,"Appartements, à vendre",Hay Albaraka,1,4,NaN,https://www.avito.ma/fr/hay_albaraka/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Casablanca_55717657.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/1Zy?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 103 m² à Marrakech,Marrakech,PRIX NON SPÉCIFIÉ,NaN,NaN,103,"Appartements, à vendre",Route de Casablanca,1,3,1-5 ans,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_103_m%C2%B2_%C3%A0_Marrakech_55035347.htm
شقق للبيع 75 m² في الدار البيضاء,Casablanca,PRIX NON SPÉCIFIÉ,NaN,NaN,75,"Appartements, à vendre",Sidi Maarouf,1,4,11-20 ans,https://www.avito.ma/fr/sidi_maarouf/appartements/%D8%B4%D9%82%D9%82_%D9%84%D9%84%D8%A8%D9%8A%D8%B9_75_m%C2%B2_%D9%81%D9%8A_%D8%A7%D9%84%D8%AF%D8%A7%D8%B1_%D8%A7%D9%84%D8%A8%D9%8A%D8%B6%D8%A7%D8%A1_53903811.htm
RAK-GU-1108 - Appartement à vendre à Izdihar,Marrakech,600 000 DH,2,1,101,"Appartements, à vendre",Hay Izdihar,NaN,Rez de chaussée,NaN,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1108___Appartement_%C3%A0_vendre_%C3%A0_Izdihar_55244103.htm
Magnifique Duplex à Vendre A l'Agdal,Rabat,4 500 000 DH,4,3,315,"Appartements, à vendre",Agdal,4,1,NaN,https://www.avito.ma/fr/agdal/appartements/Magnifique_Duplex_%C3%A0_Vendre_A_l_Agdal_55025778.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/47A?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre Mohammedia,Bouznika,630 000 DH,2,1,62,"Appartements, à vendre",Autre secteur,1,1,1-5 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_Mohammedia_54987112.htm
Studio proche bd Abdelkrim Al Khattabi (Marrakech),Marrakech,1 000 000 DH,1,2,67,"Appartements, à vendre",Guéliz,1,2,Neuf,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Studio_proche_bd_Abdelkrim_Al_Khattabi__Marrakech__55708561.htm
Appartement à vendre 80 m² à Temara,Temara,780 000 DH,2,2,80,"Appartements, à vendre",Riad Oulad Mtaa,1,Rez de chaussée,1-5 ans,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Temara_55724613.htm
Appartement à vendre 98 m² à Temara,Temara,980 000 DH,3,2,98,"Appartements, à vendre",Autre secteur,1,3,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Temara_55517106.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jHp?utm_source=avito_integration&utm_medium=listing_integration
Appartt seul escalier 130 m² à Mlle cheikh 3 face,El Jadida,890 000 DH,3,2,130,"Appartements, à vendre",Amal,2,2,Neuf,https://www.avito.ma/fr/amal/appartements/Appartt_seul_escalier_130_m%C2%B2_%C3%A0_Mlle_cheikh_3_face__55072897.htm
Appartement de luxe 122 m² à Kénitra,Kénitra,970 000 DH,3,2,122,"Appartements, à vendre",Mimosas,2,1,Neuf,https://www.avito.ma/fr/mimosas/appartements/Appartement_de_luxe_122_m%C2%B2_%C3%A0_K%C3%A9nitra_55664939.htm
Appartement à vendre 92 m² à Meknès,Meknès,720 000 DH,3,2,92,"Appartements, à vendre",Hamria,1,3,NaN,https://www.avito.ma/fr/hamria/appartements/Appartement_%C3%A0_vendre_92_m%C2%B2_%C3%A0_Mekn%C3%A8s_55693186.htm
Appartement à vendre 76 m² à Casablanca,Casablanca,749 000 DH,2,2,76,"Appartements, à vendre",Aïn Chock,1,1,Neuf,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_Casablanca_55023349.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/CUe?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 82 m² à Casablanca,Casablanca,752 400 DH,2,2,82,"Appartements, à vendre",Sidi Maarouf,1,1,Neuf,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Casablanca_51209148.htm
Appartement à vendre 92 m² à Kénitra,Kénitra,590 000 DH,2,2,92,"Appartements, à vendre",Taïbia,2,1,Neuf,https://www.avito.ma/fr/ta%C3%AFbia/appartements/Appartement_%C3%A0_vendre_92_m%C2%B2_%C3%A0_K%C3%A9nitra_55069475.htm
Charmant Appartement à vendre 90 m² à Californie,Casablanca,1 000 000 DH,2,2,90,"Appartements, à vendre",Californie,2,3,Neuf,https://www.avito.ma/fr/californie/appartements/Charmant_Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Californie__55630133.htm
Appartement à vendre 100 m² à Marrakech,Marrakech,1 300 000 DH,2,1,100,"Appartements, à vendre",Route d'Ourika,1,1,6-10 ans,https://www.avito.ma/fr/route_d'ourika/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Marrakech_55735388.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jUv?utm_source=avito_integration&utm_medium=listing_integration
appartement à vendre,Casablanca,680 000 DH,1,1,43,"Appartements, à vendre",Ben Ejdia,1,3,NaN,https://www.avito.ma/fr/ben_ejdia/appartements/appartement_%C3%A0_vendre__55735371.htm
R plus 2 Appartt 82 m2 a salam fiha daam 7 million,El Jadida,620 000 DH,3,2,82,"Appartements, à vendre",Hay Essalam,1,1,Neuf,https://www.avito.ma/fr/hay_essalam/appartements/R_plus_2_Appartt_82_m2_a_salam_fiha_daam_7_million_55614453.htm
Appartement à vendre 40 m² à Casablanca,Casablanca,470 000 DH,2,2,40,"Appartements, à vendre",Ain Sebaa,1,1,Neuf,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_40_m%C2%B2_%C3%A0_Casablanca_50856586.htm
Appartement à vendre 82 m² à Casablanca,Casablanca,752 400 DH,2,2,82,"Appartements, à vendre",Sidi Maarouf,1,1,Neuf,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Casablanca_54052914.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jXZ?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 58 m² à Temara Centre,Temara,520 000 DH,2,1,58,"Appartements, à vendre",Centre Ville,1,2,11-20 ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_58_m%C2%B2_%C3%A0_Temara_Centre__55652055.htm
Appartement à vendre 76 m² à Marrakech,Marrakech,912 000 DH,2,2,76,"Appartements, à vendre",Route de Casablanca,1,1,Neuf,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_Marrakech_55626939.htm
CMN-MA-1717 - Appartement à vendre à Maârif,Casablanca,950 000 DH,1,1,46,"Appartements, à vendre",Maarif,NaN,4,NaN,https://www.avito.ma/fr/maarif/appartements/CMN_MA_1717___Appartement_%C3%A0_vendre_%C3%A0_Ma%C3%A2rif_55581334.htm
Magnifique Appartement à vendre à Oasis,Casablanca,2 600 000 DH,3,3,125,"Appartements, à vendre",Oasis,2,1,1-5 ans,https://www.avito.ma/fr/oasis/appartements/Magnifique_Appartement_%C3%A0_vendre_%C3%A0_Oasis_55634976.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/478?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 56 m² à Salé شقة للبيع,Salé,440 000 DH,2,1,56,"Appartements, à vendre",Said Hajji,1,2,6-10 ans,https://www.avito.ma/fr/said_hajji/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Sal%C3%A9_%D8%B4%D9%82%D8%A9_%D9%84%D9%84%D8%A8%D9%8A%D8%B9___55735345.htm
appartement bien situé,Marrakech,PRIX NON SPÉCIFIÉ,NaN,NaN,60,"Appartements, à vendre",Mabrouka,1,2,6-10 ans,https://www.avito.ma/fr/mabrouka/appartements/appartement_bien_situ%C3%A9__55664918.htm
Appartt 109 m² seul escalier a salam 3 face,El Jadida,890 000 DH,3,2,109,"Appartements, à vendre",Hay Essalam,1,1,Neuf,https://www.avito.ma/fr/hay_essalam/appartements/Appartt_109_m%C2%B2_seul_escalier_a_salam_3_face__55591832.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/4qW?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 100 m² à Meknès,Meknès,480 000 DH,3,NaN,100,"Appartements, à vendre",La Hacienda,NaN,4,NaN,https://www.avito.ma/fr/la_hacienda/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Mekn%C3%A8s_55735335.htm
Vente d'un appartement .,Taza,PRIX NON SPÉCIFIÉ,NaN,NaN,113,"Appartements, à vendre",Toute la ville,1,3,11-20 ans,https://www.avito.ma/fr/taza/appartements/Vente_d_un_appartement___55735331.htm
Appartement à vendre 181 m² à Fès,Fès,925 000 DH,3,2,145,"Appartements, à vendre",Route de Sefrou,3,1,6-10 ans,https://www.avito.ma/fr/route_de_sefrou/appartements/Appartement_%C3%A0_vendre_181_m%C2%B2_%C3%A0_F%C3%A8s_55447687.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_Casablanca_50341498.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jXI?utm_source=avito_integration&utm_medium=listing_integration
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/al_boustane/appartements/Appart_86_m2_demi_terrasse_w_fiha_chorot_daam__54022642.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_%C3%A0_vendre_%C3%A0_BenTachfine_%C3%A0_Casa_54962980.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_125_m%C2%B2_%C3%A0_Casablanca_53475566.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/maarif/appartements/Appartement_94m%C2%B2_RDC_impasse_%C3%A0_Ma%C3%A2rif_extension_55476130.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jUl?utm_source=avito_integration&utm_medium=listing_integration
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/bir_rami_est/appartements/bel_appartement_%C3%A0_vendre__55070977.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_116_m%C2%B2_%C3%A0_Casablanca_51851919.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_Casablanca_51190413.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_%C3%A0_Casablanca__55331719.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jm1?utm_source=avito_integration&utm_medium=listing_integration
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/sidi_othmane/appartements/Appartement_neuf_parking_ascenseur__55520112.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/val_fleuri/appartements/CMN_MA_1641___Appartement_%C3%A0_vendre_%C3%A0_Val_Fleurie_55294484.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Temara_54933260.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre__3_chambres_Salon_%C3%A0_Casa_55246502.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/rTN?utm_source=avito_integration&utm_medium=listing_integration
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/administratif/appartements/TNG_TA_1072___Appartement_%C3%A0_vendre_%C3%A0_Administratif_55735287.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/maamora/appartements/Magnifique_appartement_haut_standing_en_vente_50781383.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/appartements/CMN_SI_1652___Appartement_%C3%A0_vendre_%C3%A0_Moulay_Youssef_55735283.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/nahda_1/appartements/Appart_74m%C2%B2_Avenue_Mohammed_5_%C3%A0_Temara_55446327.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jDV?utm_source=avito_integration&utm_medium=listing_integration
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/cherkaoui___marzouka/appartements/Appartement_%C3%A0_vendre_68_m%C2%B2_%C3%A0_Sal%C3%A9_52920721.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/mimosas/appartements/Appartement_%C3%A0_vendre_86_m%C2%B2_%C3%A0_K%C3%A9nitra_46597011.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/tabriquet/appartements/Appartement_%C3%A0_vendre_142_m%C2%B2_%C3%A0_Sal%C3%A9_53228092.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_90_m2_%C3%A0_cot%C3%A9_du_stade_de_tanger_3_ch__55684465.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/f2n?utm_source=avito_integration&utm_medium=listing_integration
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/bouskoura_centre/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Bouskoura_55149721.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_134_m%C2%B2_%C3%A0_Orchid%C3%A9es_Mohammedia_55372509.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/ain_atig/appartements/Appartement_de_r%C3%AAve_%C3%A0_vendre__%C3%A0_Ain_Atiq__50972579.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/val_d'or/appartements/Appartement_%C3%A0_vendre_111_m%C2%B2_%C3%A0_Temara_55015671.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/QgY?utm_source=avito_integration&utm_medium=listing_integration
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/administratif/appartements/Appartement_%C3%A0_vendre_148_m%C2%B2_%C3%A0_Tanger_55140094.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_targa/appartements/REZ_DE_JARDN__%C3%A0_vendre__55716540.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_202_m%C2%B2_%C3%A0_Casablanca_55362270.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/oasis/appartements/Appartement_76_m%C2%B2_bien_ensoleill%C3%A9_avec_terrasse_54419380.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jok?utm_source=avito_integration&utm_medium=listing_integration
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_el_fath/appartements/Appartement_%C3%A0_vendre_125_m%C2%B2_%C3%A0_Rabat_46276541.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/roches_noires/appartements/Spacieux_appartement_avec_balcon_55171364.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/marjane/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Tanger_55686811.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/j0X?utm_source=avito_integration&utm_medium=listing_integration
