titre_appart,localisation,prix,nombre_chambre,nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Appartement 70 m² avec piscine à gueliz,Marrakech,725 000 DH,2,2,70,"Appartements, à vendre",Guéliz,1,2,Neuf,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_70_m%C2%B2_avec_piscine_%C3%A0_gueliz_33164430.htm
Appartement à vendre 60 m² à Bassatine Meknès,Meknès,210 000 DH,2,1,60,"Appartements, à vendre",Autre secteur,1,1,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Bassatine_Mekn%C3%A8s_55652966.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jXa?utm_source=avito_integration&utm_medium=listing_integration
Appartement meublé à vendre 130 m² à Salé,Rabat,1 270 000 DH,3,1,130,"Appartements, à vendre",Autre secteur,2,3,1-5 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_meubl%C3%A9_%C3%A0_vendre_130_m%C2%B2_%C3%A0_Sal%C3%A9__55630759.htm
Appartement neuf traversant,Casablanca,1 900 000 DH,2,3,106,"Appartements, à vendre",Franceville,1,1,Neuf,https://www.avito.ma/fr/franceville/appartements/Appartement_neuf_traversant__55571308.htm
Appartement en Vente à Bouznika,Bouznika,490 000 DH,2,1,63,"Appartements, à vendre",Autre secteur,1,2,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_en_Vente_%C3%A0_Bouznika_44799287.htm
Appartement 90m² Belvédère,Casablanca,900 000 DH,2,1,84,"Appartements, à vendre",Belvédère,1,4,11-20 ans,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement__90m%C2%B2_Belv%C3%A9d%C3%A8re_54833637.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/o6A?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 217 m² à Fès,Fès,PRIX NON SPÉCIFIÉ,NaN,NaN,217,"Appartements, à vendre",Agdal,2,6,6-10 ans,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_217_m%C2%B2_%C3%A0_F%C3%A8s_54137908.htm
Appartement 77 m² à Casablanca,Casablanca,580 000 DH,2,1,77,"Appartements, à vendre",Sidi Moumen,1,2,1-5 ans,https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_77_m%C2%B2_%C3%A0_Casablanca_54387821.htm
Joli Studio de 53m² à Maarif Extension,Casablanca,900 000 DH,1,1,53,"Appartements, à vendre",Maârif Extension,1,4,11-20 ans,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Joli_Studio_de_53m%C2%B2_%C3%A0_Maarif_Extension_55700764.htm
Appartement à vendre 117 m² à Saidia,Saidia,950 000 DH,2,2,97,"Appartements, à vendre",Toute la ville,1,1,6-10 ans,https://www.avito.ma/fr/saidia/appartements/Appartement_%C3%A0_vendre_117_m%C2%B2_%C3%A0_Saidia_55228362.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/4qU?utm_source=avito_integration&utm_medium=listing_integration
Bel Appartement Cœur Gueliz,Marrakech,2 900 000 DH,2,1,110,"Appartements, à vendre",Guéliz,1,3,1-5 ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Bel_Appartement_C_ur_Gueliz__55597267.htm
très joli appart à vendre à oasis,Casablanca,1 950 000 DH,2,2,91,"Appartements, à vendre",Route d'El Jadida,1,3,1-5 ans,https://www.avito.ma/fr/route_d'el_jadida/appartements/_tr%C3%A8s_joli_appart_%C3%A0_vendre__%C3%A0_oasis___54036615.htm
RBA-YO-1038 - Appartement à vendre à Aviation - ...,Rabat,1 500 000 DH,2,2,78,"Appartements, à vendre",Aviation - Mabella,NaN,3,NaN,https://www.avito.ma/fr/aviation___mabella/appartements/RBA_YO_1038___Appartement_%C3%A0_vendre_%C3%A0_Aviation_______54780093.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/a86?utm_source=avito_integration&utm_medium=listing_integration
GUELIZ DERRIÈRE LE CARRÉ EDEN,Marrakech,1 840 000 DH,3,1,202,"Appartements, à vendre",Guéliz,2,Rez de chaussée,21+ ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/GUELIZ_DERRI%C3%88RE_LE_CARR%C3%89_EDEN_55461861.htm
Excellent appartement 85m2 635000 prix négociable,Casablanca,635 000 DH,2,2,75,"Appartements, à vendre",Sidi Bernoussi,1,3,11-20 ans,https://www.avito.ma/fr/sidi_bernoussi/appartements/Excellent_appartement_85m2_635000_prix_n%C3%A9gociable_55260511.htm
Appartement à vendre 63 m² à Agadir,Agadir,680 000 DH,2,1,63,"Appartements, à vendre",Hay Mohammadi,1,1,Neuf,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Agadir_55736306.htm
Appartement 2 chambres sans vis a vis à vendre,Mohammedia,780 000 DH,2,1,75,"Appartements, à vendre",Quartier du Parc,2,1,11-20 ans,https://www.avito.ma/fr/quartier_du_parc/appartements/Appartement_2_chambres_sans_vis_a_vis_%C3%A0_vendre__55626373.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/biO?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 74 m² à WAFA Mohammedia,Mohammedia,690 000 DH,2,2,74,"Appartements, à vendre",Wafa,1,2,11-20 ans,https://www.avito.ma/fr/wafa/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_WAFA_Mohammedia_55181658.htm
Appartement à vendre 72 m² à Salé,Salé,748 800 DH,2,1,72,"Appartements, à vendre",Cherkaoui - Marzouka,1,2,Neuf,https://www.avito.ma/fr/cherkaoui___marzouka/appartements/Appartement_%C3%A0_vendre_72_m%C2%B2_%C3%A0_Sal%C3%A9_53975864.htm
Appartement 69 mètre 1er étage Sidi moumen agdal,Casablanca,500 000 DH,2,1,69,"Appartements, à vendre",Sidi Moumen,1,1,6-10 ans,https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_69_m%C3%A8tre__1er_%C3%A9tage_Sidi_moumen_agdal__55545451.htm
Appartement à vendre 109m² Centre ville Atlas Fès,Fès,750 000 DH,3,2,109,"Appartements, à vendre",Hay Atlas,1,3,Neuf,https://www.avito.ma/fr/hay_atlas/appartements/Appartement_%C3%A0_vendre_109m%C2%B2_Centre_ville_Atlas_F%C3%A8s_55732398.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jg4?utm_source=avito_integration&utm_medium=listing_integration
Joli Appartement à Oulad mtaà,Rabat,860 000 DH,2,1,65,"Appartements, à vendre",Guich Oudaya,2,2,6-10 ans,https://www.avito.ma/fr/guich_oudaya/appartements/Joli_Appartement_%C3%A0_Oulad_mta%C3%A0_53021215.htm
Appartement à vendre 105 m² à Casablanca,Casablanca,PRIX NON SPÉCIFIÉ,NaN,NaN,105,"Appartements, à vendre",Oulfa,1,3,Neuf,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_105_m%C2%B2_%C3%A0_Casablanca_54508643.htm
Magnifique appartement 115 m² 2 mars,Casablanca,1 550 000 DH,3,2,115,"Appartements, à vendre",2 Mars,1,4,NaN,https://www.avito.ma/fr/2_mars/appartements/Magnifique_appartement_115_m%C2%B2__2_mars__55634811.htm
Appartement 2 chambres salon résidence sécurisée,Marrakech,850 000 DH,2,1,92,"Appartements, à vendre",Allal El Fassi,1,5,NaN,https://www.avito.ma/fr/allal_el_fassi/appartements/Appartement_2_chambres_salon_r%C3%A9sidence_s%C3%A9curis%C3%A9e_55342080.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/js2?utm_source=avito_integration&utm_medium=listing_integration
Appartement de 150 m² à Ain Sebaa,Casablanca,1 290 000 DH,2,2,150,"Appartements, à vendre",Ain Sebaa,2,1,NaN,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_de_150_m%C2%B2_%C3%A0_Ain_Sebaa__55602547.htm
Appartement dans un quartier vivant,Fès,449 000 DH,3,2,97,"Appartements, à vendre",Narjis,2,4,11-20 ans,https://www.avito.ma/fr/narjis/appartements/Appartement_dans_un_quartier_vivant_54848351.htm
