titre_appart,localisation,prix,nombre_chambre,nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Très jolie appartement a vendre a hay riad,Rabat,4 000 000 DH,3,3,157,"Appartements, à vendre",Hay Riad,1,1,1-5 ans,https://www.avito.ma/fr/hay_riad/appartements/Tr%C3%A8s_jolie_appartement_a_vendre_a_hay_riad_55725126.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/1Ex?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 54 m² à Zenata,Zenata,580 000 DH,1,1,39,"Appartements, à vendre",Toute la ville,1,Rez de chaussée,Neuf,https://www.avito.ma/fr/zenata/appartements/Appartement_%C3%A0_vendre_54_m%C2%B2_%C3%A0_Zenata_55640581.htm
Appartement à vendre de 124 m² à Branes 2 Tanger,Tanger,1 180 000 DH,3,2,124,"Appartements, à vendre",Branes 2,1,3,6-10 ans,https://www.avito.ma/fr/branes_2/appartements/Appartement_%C3%A0_vendre_de_124_m%C2%B2_%C3%A0_Branes_2_Tanger__55523056.htm
Appartement Sidi Bernoussi Résidences Al Badr,Casablanca,7 200 DH,3,100,49,"Appartements, à vendre",Sidi Bernoussi,NaN,Rez de chaussée,Neuf,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_Sidi_Bernoussi_R%C3%A9sidences_Al_Badr_37621281.htm
Appartement à louer 101 m² à moulay smail,Tanger,8 500 DH,3,2,101,"Appartements, à vendre",Centre ville,1,4,1-5 ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_louer_101_m%C2%B2_%C3%A0_moulay_smail_55724785.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/o6A?utm_source=avito_integration&utm_medium=listing_integration
RBA-YA-1046 - Appartement à vendre à Hay Al Fath,Rabat,1 700 000 DH,2,2,106,"Appartements, à vendre",Hay el Fath,NaN,2,NaN,https://www.avito.ma/fr/hay_el_fath/appartements/RBA_YA_1046___Appartement_%C3%A0_vendre_%C3%A0_Hay_Al_Fath_55641300.htm
Appartement à vendre 52 m² à Berrechid,Berrechid,230 000 DH,1,1,52,"Appartements, à vendre",Toute la ville,1,1,Neuf,https://www.avito.ma/fr/berrechid/appartements/Appartement_%C3%A0_vendre_52_m%C2%B2_%C3%A0_Berrechid_55447801.htm
Appartement 193 m² à Kénitra,Kénitra,1 400 000 DH,3,3,193,"Appartements, à vendre",Mimosas,2,7+,6-10 ans,https://www.avito.ma/fr/mimosas/appartements/Appartement_193_m%C2%B2_%C3%A0_K%C3%A9nitra_55673021.htm
Appartement 127m2 à Les Princesses Casablanca,Casablanca,21 600 000 DH,3,2,112,"Appartements, à vendre",Maarif,2,3,Neuf,https://www.avito.ma/fr/maarif/appartements/Appartement_127m2_%C3%A0_Les_Princesses_Casablanca__50660949.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jZm?utm_source=avito_integration&utm_medium=listing_integration
CMN-MA-1342 - Appartement à vendre à Bachkou,Casablanca,1 390 000 DH,2,1,105,"Appartements, à vendre",Bachkou,NaN,5,NaN,https://www.avito.ma/fr/bachkou/appartements/CMN_MA_1342___Appartement_%C3%A0_vendre_%C3%A0_Bachkou_54603815.htm
Appartement à vendre 82 m² à Casablanca CFC,Casablanca,1 600 000 DH,2,1,82,"Appartements, à vendre",Casablanca Finance City,1,4,NaN,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Casablanca_CFC_55636460.htm
appartement à vendre bourgogne,Casablanca,PRIX NON SPÉCIFIÉ,2,1,128,"Appartements, à vendre",Bourgogne,2,3,NaN,https://www.avito.ma/fr/bourgogne/appartements/appartement_%C3%A0_vendre_bourgogne_55725088.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/x0g?utm_source=avito_integration&utm_medium=listing_integration
